StudentName,StudentNumber,CourseName,CourseCode,Grades,CourseWeight,Instructor,Department,UniversityName,Location,Ranking
Katina Joslyn,944434,GENERAL AGRICULTURE,6099,94,0.5,Susan Bacon,Humanities & Liberal Arts,Alexandria University,Egypt,287
Joseph Scribner,855483,INTERDISCIPLINARY SOCIAL SCIENCES,6206,87,1.0,Joan Morton,Education,Jilin University,China,710
Alton Hall,817829,METALLURGICAL ENGINEERING,5206,86,1.0,William Theiss,Education,University of East Anglia,United Kingdom,85
Lucille Humble,986049,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,3201,94,1.0,Cinthia McGurk,Engineering,University of Iceland,Iceland,650
Margaret Mondragon,560641,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,5299,50,1.0,Timothy Hooper,Engineering,Lomonosov Moscow State University,Russian Federation,183
Janette Hewitt,409640,FILM VIDEO AND PHOTOGRAPHIC ARTS,4005,15,1.0,George Torres,Education,Scuola Superiore Sant'Anna,Italy,44
John Martin,740467,PHARMACOLOGY,5401,89,1.0,Columbus Scott,Engineering,William & Mary,United States of America,467
Charles Allen,599567,PHYSICAL SCIENCES,3605,63,0.5,James Weymouth,Health,Complutense University of Madrid,Spain,214
Richard Bender,735031,BUSINESS MANAGEMENT AND ADMINISTRATION,5701,87,0.5,Kelley Kawamura,Business,Flinders University,Australia,492
Steven Whitaker,505392,MISCELLANEOUS BIOLOGY,2105,51,1.0,Sybil White,Education,University of Cagliari,Italy,657
Charlotte Jones,843990,AGRICULTURE PRODUCTION AND MANAGEMENT,5206,32,0.5,Steven Robles,Business,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,123
John Carey,921274,MISCELLANEOUS FINE ARTS,6402,76,1.0,Anna Ramirez,Engineering,University of Milan-Bicocca,Italy,84
Louise Norman,773420,GENERAL BUSINESS,5701,10,1.0,Anthony Quintero,Humanities & Liberal Arts,Hebrew University of Jerusalem,Israel,267
Rebekah Watts,623275,COMMUNICATION DISORDERS SCIENCES AND SERVICES,6402,94,0.5,Shirley Odum,Social Science,Kanazawa University,Japan,99
Margret McKenzie,443861,INTERDISCIPLINARY SOCIAL SCIENCES,6204,43,1.0,Louis Brown,Education,University of Connecticut,United States of America,713
John Barber,256111,MISCELLANEOUS FINE ARTS,2312,62,0.5,Harold Estrada,Psychology & Social Work,KTH Royal Institute of Technology,Sweden,504
Yvette Goheen,141195,HEALTH AND MEDICAL PREPARATORY PROGRAMS,2309,47,1.0,Armando Lanier,Humanities & Liberal Arts,Fudan University,China,748
Zachary Melendez,735301,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,1101,93,0.5,Robert Forrester,Engineering,University of Nantes,France,336
Bernice Roudebush,560934,MECHANICAL ENGINEERING,2504,72,1.0,Kevin Richardson,Computers & Mathematics,Xidian University,China,465
Christopher Peterson,403510,SPECIAL NEEDS EDUCATION,5299,99,1.0,Lynda Reynolds,Law & Public Policy,Vanderbilt University,United States of America,152
Linda Cabrera,824503,HOSPITALITY MANAGEMENT,2102,29,0.5,Randy Henderson,Agriculture & Natural Resources,University of Sheffield,United Kingdom,751
Lorene Martin,841690,INTERDISCIPLINARY SOCIAL SCIENCES,2411,80,1.0,Retha Smith,Agriculture & Natural Resources,University of Washington,United States of America,583
Maria Rosenzweig,280177,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,6199,59,0.5,Milagros Weston,Physical Sciences,Swedish University of Agricultural Sciences,Sweden,290
Brandon Hanes,638130,PSYCHOLOGY,1105,17,0.5,Louise Norman,Health,Technical University of Dortmund,Germany,3
Danny Pimentel,741186,MISCELLANEOUS AGRICULTURE,5004,7,1.0,Douglas Melton,Humanities & Liberal Arts,University at Buffalo,United States of America,231
Christopher Peterson,256341,OPERATIONS LOGISTICS AND E-COMMERCE,5601,48,1.0,Jessica Lawson,Engineering,University of Alcala,Spain,79
Charles Laskowski,839427,PSYCHOLOGY,5206,61,0.5,Amber Hall,Computers & Mathematics,University of Arizona,United States of America,245
Janette Hewitt,810941,PRE-LAW AND LEGAL STUDIES,1105,23,1.0,Michelle Thompson,Health,"University of the Andes, Colombia",Colombia,260
Edward Cooper,549016,MICROBIOLOGY,5201,31,1.0,Dan Lee,Psychology & Social Work,Macquarie University,Australia,204
Patrica Jones,163705,TEACHER EDUCATION: MULTIPLE LEVELS,5001,18,1.0,Tina Mangrum,Law & Public Policy,University of Waikato,New Zealand,773
Kathy Wahl,688119,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,2404,94,1.0,Janet Higgs,Computers & Mathematics,Lille 2 University - Health and Law,France,195
Shawn McCleery,433408,COMMUNITY AND PUBLIC HEALTH,5506,90,1.0,Thomas Jessup,Psychology & Social Work,Polytechnic University of Valencia,Spain,511
Andrew Taylor,976004,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,6103,46,0.5,Christopher Hansen,Industrial Arts & Consumer Services,University of Sao Paulo,Brazil,680
Patsy Cook,315526,COMPUTER NETWORKING AND TELECOMMUNICATIONS,6003,51,1.0,Sadie Rodriguez,Industrial Arts & Consumer Services,University of Erlangen-Nuremberg,Germany,412
Bernard Cotton,133150,GENETICS,5504,53,1.0,Charles Camacho,Education,"University of California, San Diego",United States of America,83
John Carey,810076,MOLECULAR BIOLOGY,4006,49,0.5,Mercedes Lindsay,Education,Stanford University,United States of America,569
Clifford Ladouceur,706090,FOOD SCIENCE,3702,73,0.5,Patricia Huff,Social Science,Xiamen University,China,595
Earl Henry,192848,STUDIO ARTS,6105,32,1.0,Daniel Walker,Psychology & Social Work,University of Macau,Macau,701
Lee Sailor,121865,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,5506,64,1.0,Robert Meister,Education,Carleton University,Canada,696
Lynda Reynolds,151064,MARKETING AND MARKETING RESEARCH,6204,60,0.5,William Norris,Law & Public Policy,King Abdulaziz University,Saudi Arabia,760
Jennifer Collins,176716,HUMAN SERVICES AND COMMUNITY ORGANIZATION,1904,29,0.5,Roberto Guzman,Biology & Life Science,University of Padua,Italy,685
Gina Casto,370331,INTERNATIONAL BUSINESS,6203,15,1.0,Vaughn Jackson,Business,University of Lausanne,Switzerland,304
Pedro Boyer,892575,ENGINEERING TECHNOLOGIES,1902,57,1.0,Kenneth Greenlee,Communications & Journalism,Osaka University,Japan,422
William Register,872891,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,2601,81,0.5,Patricia Callender,Communications & Journalism,National Chengchi University,Taiwan,185
